iter	Passed	Remaining
420	2189	3010
421	2195	3006
422	2200	3001
423	2205	2996
424	2211	2992
425	2216	2986
426	2220	2980
427	2226	2975
428	2231	2969
429	2234	2961
430	2239	2956
431	2245	2952
432	2250	2946
433	2254	2940
434	2260	2935
435	2265	2930
436	2271	2926
437	2279	2925
438	2284	2919
439	2290	2915
440	2296	2910
441	2300	2904
442	2305	2899
443	2311	2894
444	2316	2888
445	2321	2883
446	2326	2877
447	2329	2870
448	2334	2864
449	2339	2859
450	2344	2854
451	2349	2847
452	2353	2842
453	2358	2836
454	2363	2831
455	2368	2825
456	2372	2819
457	2377	2813
458	2381	2806
459	2386	2801
460	2390	2795
461	2394	2788
462	2398	2782
463	2403	2776
464	2407	2770
465	2411	2763
466	2415	2757
467	2421	2752
468	2426	2747
469	2430	2741
470	2436	2736
471	2440	2729
472	2444	2723
473	2448	2716
474	2452	2711
475	2456	2704
476	2460	2698
477	2465	2692
478	2484	2702
479	2489	2696
480	2493	2690
481	2498	2684
482	2503	2679
483	2507	2673
484	2512	2668
485	2518	2663
486	2524	2659
487	2530	2654
488	2536	2650
489	2542	2645
490	2548	2641
491	2554	2637
492	2559	2632
493	2564	2627
494	2570	2622
495	2575	2617
496	2581	2613
497	2587	2608
498	2592	2602
499	2598	2598
500	2603	2593
501	2609	2588
502	2614	2583
503	2620	2578
504	2625	2573
505	2631	2569
506	2636	2564
507	2641	2558
508	2647	2553
509	2652	2548
510	2657	2543
511	2663	2538
512	2668	2533
513	2674	2528
514	2679	2523
515	2684	2518
516	2689	2512
517	2695	2507
518	2701	2503
519	2706	2497
520	2711	2493
521	2717	2488
522	2722	2483
523	2727	2477
524	2732	2472
525	2737	2466
526	2741	2460
527	2746	2455
528	2750	2449
529	2754	2442
530	2759	2437
531	2763	2431
532	2767	2425
533	2772	2419
534	2776	2413
535	2781	2407
536	2785	2401
537	2789	2395
538	2794	2390
539	2799	2384
540	2803	2378
541	2808	2373
542	2812	2366
543	2816	2360
544	2820	2354
545	2825	2349
546	2829	2343
547	2834	2337
548	2839	2332
549	2844	2327
550	2848	2321
551	2853	2316
552	2858	2310
553	2863	2305
554	2868	2299
555	2872	2294
556	2877	2288
557	2882	2283
558	2888	2278
559	2892	2272
560	2896	2266
561	2901	2261
562	2906	2256
563	2911	2250
564	2916	2245
565	2922	2240
566	2927	2235
567	2933	2230
568	2938	2226
569	2944	2220
570	2949	2216
571	2955	2211
572	2960	2205
573	2965	2200
574	2971	2196
575	2976	2191
576	2981	2185
577	2986	2180
578	2991	2174
579	2996	2169
580	3000	2164
581	3006	2158
582	3010	2153
583	3015	2148
584	3020	2142
585	3025	2137
586	3030	2131
587	3034	2126
588	3040	2121
589	3045	2116
590	3049	2110
591	3055	2105
592	3060	2100
593	3065	2095
594	3070	2090
595	3075	2084
596	3080	2079
597	3086	2074
598	3091	2069
599	3096	2064
600	3101	2059
601	3106	2053
602	3111	2048
603	3119	2044
604	3124	2040
605	3130	2035
606	3135	2030
607	3140	2024
608	3144	2019
609	3149	2013
610	3154	2008
611	3159	2003
612	3164	1997
613	3169	1992
614	3174	1987
615	3193	1990
616	3208	1991
617	3221	1991
618	3234	1990
619	3246	1989
620	3252	1984
621	3257	1979
622	3265	1975
623	3270	1970
624	3274	1964
625	3280	1959
626	3285	1954
627	3291	1949
628	3296	1944
629	3307	1942
630	3316	1939
631	3322	1934
632	3327	1928
633	3332	1923
634	3337	1918
635	3342	1913
636	3348	1908
637	3353	1902
638	3358	1897
639	3364	1892
640	3369	1887
641	3374	1881
642	3380	1876
643	3385	1871
644	3391	1866
645	3397	1861
646	3403	1856
647	3409	1851
648	3414	1846
649	3419	1841
650	3425	1836
651	3430	1830
652	3435	1825
653	3440	1819
654	3445	1814
655	3450	1809
656	3455	1803
657	3460	1798
658	3464	1792
659	3469	1787
660	3475	1782
661	3480	1776
662	3485	1771
663	3490	1766
664	3494	1760
665	3500	1755
666	3504	1749
667	3509	1744
668	3514	1738
669	3519	1733
670	3525	1728
671	3529	1722
672	3534	1717
673	3539	1712
674	3544	1706
675	3549	1701
676	3554	1695
677	3559	1690
678	3580	1692
679	3584	1686
680	3589	1681
681	3594	1675
682	3600	1671
683	3606	1665
684	3612	1661
685	3617	1655
686	3624	1651
687	3629	1645
688	3634	1640
689	3639	1635
690	3645	1630
691	3650	1624
692	3656	1620
693	3661	1614
694	3666	1608
695	3672	1603
696	3677	1598
697	3682	1593
698	3688	1588
699	3692	1582
700	3698	1577
701	3703	1572
702	3708	1566
703	3713	1561
704	3718	1555
705	3723	1550
706	3728	1544
707	3733	1539
708	3738	1534
709	3742	1528
710	3746	1522
711	3751	1517
712	3756	1511
713	3760	1506
714	3766	1501
715	3770	1495
716	3774	1489
717	3779	1484
718	3785	1479
719	3790	1473
720	3795	1468
721	3800	1463
722	3806	1458
723	3811	1453
724	3818	1448
725	3823	1443
726	3828	1437
727	3834	1432
728	3840	1427
729	3844	1421
730	3850	1416
731	3855	1411
732	3860	1406
733	3865	1400
734	3870	1395
735	3874	1389
736	3879	1384
737	3885	1379
738	3889	1373
739	3894	1368
740	3899	1362
741	3904	1357
742	3908	1351
743	3913	1346
744	3918	1341
745	3922	1335
746	3926	1329
747	3932	1324
748	3937	1319
749	3941	1313
750	3946	1308
751	3950	1302
752	3954	1297
753	3959	1291
754	3965	1286
755	3970	1281
756	3974	1275
757	3979	1270
758	3984	1265
759	3988	1259
760	3994	1254
761	3999	1249
762	4004	1243
763	4010	1238
764	4020	1235
765	4024	1229
766	4029	1223
767	4033	1218
768	4038	1213
769	4043	1207
770	4048	1202
771	4053	1197
772	4058	1191
773	4063	1186
774	4068	1181
775	4073	1175
776	4078	1170
777	4083	1165
778	4088	1159
779	4093	1154
780	4097	1149
781	4102	1143
782	4107	1138
783	4114	1133
784	4118	1128
785	4123	1122
786	4128	1117
787	4133	1111
788	4137	1106
789	4142	1101
790	4147	1095
791	4151	1090
792	4156	1084
793	4160	1079
794	4165	1073
795	4169	1068
796	4174	1063
797	4179	1058
798	4184	1052
799	4189	1047
800	4194	1041
801	4198	1036
802	4204	1031
803	4209	1026
804	4214	1020
805	4220	1015
806	4225	1010
807	4231	1005
808	4236	1000
809	4242	995
810	4249	990
811	4255	985
812	4261	980
813	4267	975
814	4272	969
815	4277	964
816	4283	959
817	4288	954
818	4293	948
819	4298	943
820	4303	938
821	4309	933
822	4313	927
823	4319	922
824	4324	917
825	4329	912
826	4335	906
827	4340	901
828	4345	896
829	4350	890
830	4354	885
831	4358	880
832	4363	874
833	4367	869
834	4372	864
835	4376	858
836	4381	853
837	4385	847
838	4389	842
839	4393	836
840	4399	831
841	4402	826
842	4407	820
843	4412	815
844	4417	810
845	4421	804
846	4426	799
847	4431	794
848	4436	788
849	4440	783
850	4444	778
851	4450	773
852	4455	767
853	4460	762
854	4465	757
855	4470	752
856	4475	746
857	4479	741
858	4484	736
859	4488	730
860	4493	725
861	4498	720
862	4502	714
863	4506	709
864	4520	705
865	4524	700
866	4528	694
867	4533	689
868	4538	684
869	4545	679
870	4552	674
871	4558	669
872	4565	664
873	4570	658
874	4575	653
875	4581	648
876	4585	643
877	4589	637
878	4595	632
879	4600	627
880	4605	622
881	4611	616
882	4616	611
883	4621	606
884	4626	601
885	4631	595
886	4636	590
887	4642	585
888	4647	580
889	4651	574
890	4656	569
891	4661	564
892	4667	559
893	4673	554
894	4679	548
895	4684	543
896	4690	538
897	4695	533
898	4700	528
899	4705	522
900	4710	517
901	4714	512
902	4718	506
903	4723	501
904	4728	496
905	4732	491
906	4736	485
907	4741	480
908	4745	475
909	4750	469
910	4755	464
911	4760	459
912	4764	454
913	4769	448
914	4774	443
915	4778	438
916	4782	432
917	4788	427
918	4792	422
919	4796	417
920	4801	411
921	4806	406
922	4810	401
923	4815	396
924	4820	390
925	4825	385
926	4829	380
927	4834	375
928	4839	369
929	4843	364
930	4847	359
931	4852	354
932	4857	348
933	4868	344
934	4872	338
935	4876	333
936	4881	328
937	4886	322
938	4891	317
939	4895	312
940	4900	307
941	4905	302
942	4911	296
943	4915	291
944	4921	286
945	4926	281
946	4931	276
947	4936	270
948	4941	265
949	4946	260
950	4952	255
951	4957	249
952	4962	244
953	4968	239
954	4973	234
955	4978	229
956	4984	223
957	4989	218
958	4993	213
959	4999	208
960	5005	203
961	5010	197
962	5016	192
963	5020	187
964	5024	182
965	5030	177
966	5035	171
967	5039	166
968	5044	161
969	5050	156
970	5055	150
971	5060	145
972	5065	140
973	5070	135
974	5073	130
975	5079	124
976	5085	119
977	5089	114
978	5095	109
979	5101	104
980	5106	98
981	5112	93
982	5117	88
983	5122	83
984	5128	78
985	5133	72
986	5137	67
987	5143	62
988	5148	57
989	5152	52
990	5157	46
991	5162	41
992	5167	36
993	5171	31
994	5177	26
995	5182	20
996	5186	15
997	5191	10
998	5196	5
999	5200	0
