iter	RMSE
0	216.5206917
1	208.1866429
2	200.2571443
3	193.2175398
4	186.1605012
5	179.5873133
6	172.8624757
7	166.5424566
8	160.3548837
9	154.2841875
10	148.958422
11	143.5513278
12	138.707353
13	134.2754059
14	130.0076089
15	126.1367151
16	122.1309794
17	118.3849364
18	114.9453422
19	111.8591309
20	108.6512848
21	105.45795
22	102.5135874
23	99.75559272
24	97.19756516
25	94.48822086
26	92.19679987
27	89.93949494
28	87.85118602
29	85.85850582
30	83.83142518
31	82.0745331
32	80.25317981
33	78.3094136
34	76.49706368
35	74.7629279
36	73.24517794
37	71.67023119
38	71.26608865
39	69.87253454
40	69.20773401
41	68.19915431
42	67.65399486
43	67.25609672
44	66.17828418
45	65.8302135
46	65.50015169
47	65.14163357
48	63.96327112
49	63.62231052
50	63.30410622
51	62.01091836
52	61.68684598
53	60.47777089
54	59.58669988
55	59.30828398
56	59.0215332
57	58.18185172
58	57.882325
59	57.61388453
60	57.35335923
61	57.0837699
62	56.82886833
63	56.55063364
64	55.58876331
65	55.32731731
66	54.13793751
67	53.1116306
68	52.87735105
69	52.63814556
70	52.40398663
71	52.16798934
72	51.95336503
73	51.74326649
74	51.53783103
75	51.32017478
76	51.1423147
77	50.97480024
78	50.11927095
79	48.94938094
80	48.76342306
81	47.70977282
82	47.53019645
83	47.35225515
84	46.50744335
85	46.34675677
86	45.55997695
87	45.39737576
88	45.23858313
89	44.26932597
90	43.37219112
91	42.84622829
92	42.62178407
93	42.43252046
94	42.0293258
95	41.89908565
96	41.19097872
97	41.04427472
98	40.3159816
99	40.17723283
100	40.04062832
101	39.88089193
102	39.72991825
103	38.97312802
104	38.83164405
105	38.68514819
106	37.95721865
107	37.2653605
108	36.62234981
109	36.47832026
110	35.80409428
111	35.65449091
112	35.50348817
113	35.40840177
114	34.78211268
115	34.20803474
116	33.83564571
117	33.26163962
118	32.75279322
119	32.36500854
120	31.96929324
121	31.55786048
122	31.09696182
123	30.7376083
124	30.41630074
125	30.2239828
126	30.11288384
127	29.87101717
128	29.52776412
129	29.16710864
130	28.97434209
131	28.64244592
132	28.1838586
133	27.85404719
134	27.5311624
135	27.18596907
136	26.80974724
137	26.53270277
138	26.22532481
139	26.05014872
140	25.81477099
141	25.50721928
142	25.36059983
143	25.20449916
144	25.08872928
145	24.96462054
146	24.77761026
147	24.59042074
148	24.46643079
149	24.26859648
150	24.06320839
151	23.89050137
152	23.71504715
153	23.5033504
154	23.3120313
155	23.10752107
156	22.92407601
157	22.76919634
158	22.65532893
159	22.54857748
160	22.42609351
161	22.25777367
162	22.13586532
163	22.00009358
164	21.84417086
165	21.69305188
166	21.55966539
167	21.41681066
168	21.25702144
169	21.14243752
170	21.0106677
171	20.90321783
172	20.78440192
173	20.66337267
174	20.56282581
175	20.41605195
176	20.33200814
177	20.21388614
178	20.07579198
179	20.00012306
180	19.89093481
181	19.78885711
182	19.64308346
183	19.53067832
184	19.41882119
185	19.32374727
186	19.24821466
187	19.18047164
188	19.07321797
189	18.97825405
190	18.87450214
191	18.78941674
192	18.64740479
193	18.55360986
194	18.47955085
195	18.37143035
196	18.24251634
197	18.16081368
198	18.07799863
199	17.93997647
200	17.83497465
201	17.75521788
202	17.65460812
203	17.5933237
204	17.50526804
205	17.43697805
206	17.37043964
207	17.27388181
208	17.19379143
209	17.13906519
210	17.06515003
211	17.02153444
212	16.98975263
213	16.94041952
214	16.88774519
215	16.82729141
216	16.7512658
217	16.67510645
218	16.57962347
219	16.51307495
220	16.46486119
221	16.43612324
222	16.33717411
223	16.29173774
224	16.21128401
225	16.16610859
226	16.09833564
227	15.99403562
228	15.94155033
229	15.9268139
230	15.89563742
231	15.84500239
232	15.8297933
233	15.75434914
234	15.66717374
235	15.61640251
236	15.51669602
237	15.44756732
238	15.43929792
239	15.42372247
240	15.41111458
241	15.39637649
242	15.38568989
243	15.31885798
244	15.22517095
245	15.16405658
246	15.09730431
247	15.06152204
248	14.98086157
249	14.92590234
250	14.8505883
251	14.78313526
252	14.74828541
253	14.6911762
254	14.62995624
255	14.58101061
256	14.51420728
257	14.49626261
258	14.46514579
259	14.44816796
260	14.41348883
261	14.35236254
262	14.33675384
263	14.28272045
264	14.26943373
265	14.22172486
266	14.20915581
267	14.15260023
268	14.06992674
269	14.06229663
270	14.03887883
271	13.97800861
272	13.96619999
273	13.9359798
274	13.92917332
275	13.87898784
276	13.81338345
277	13.80218456
278	13.75392556
